,ID,Label,Category,Set
0,B,bench,heavy,Mid
1,B,bench,heavy,Mid
2,B,bench,heavy,Mid
3,B,bench,heavy,Mid
4,B,bench,heavy,Mid
5,B,bench,heavy,Mid
6,B,bench,heavy,Mid
7,B,bench,heavy,Mid
8,B,bench,heavy,Mid
9,B,bench,heavy,Mid
10,B,bench,heavy,Mid
11,B,bench,heavy,Mid
12,B,bench,heavy,Mid
13,B,bench,heavy,Mid
14,B,bench,heavy,Mid
15,B,bench,heavy,Mid
16,B,bench,heavy,Mid
17,B,bench,heavy,Mid
18,B,bench,heavy,Mid
19,B,bench,heavy,Mid
20,B,bench,heavy,Mid
21,B,bench,heavy,Mid
22,B,bench,heavy,Mid
23,B,bench,heavy,Mid
24,B,bench,heavy,Mid
25,B,bench,heavy,Mid
26,B,bench,heavy,Mid
27,B,bench,heavy,Mid
28,B,bench,heavy,Mid
29,B,bench,heavy,Mid
30,B,bench,heavy,Mid
31,B,bench,heavy,Mid
32,B,bench,heavy,Mid
33,B,bench,heavy,Mid
34,B,bench,heavy,Mid
35,B,bench,heavy,Mid
36,B,bench,heavy,Mid
37,B,bench,heavy,Mid
38,B,bench,heavy,Mid
39,B,bench,heavy,Mid
40,B,bench,heavy,Mid
41,B,bench,heavy,Mid
42,B,bench,heavy,Mid
43,B,bench,heavy,Mid
44,B,bench,heavy,Mid
45,B,bench,heavy,Mid
46,B,bench,heavy,Mid
47,B,bench,heavy,Mid
48,B,bench,heavy,Mid
49,B,bench,heavy,Mid
50,B,bench,heavy,Mid
51,B,bench,heavy,Mid
52,B,bench,heavy,Mid
53,B,bench,heavy,Mid
54,B,bench,heavy,Mid
55,B,bench,heavy,Mid
56,B,bench,heavy,Mid
57,B,bench,heavy,Mid
58,B,bench,heavy,Mid
59,B,bench,heavy,Mid
60,B,bench,heavy,Mid
61,B,bench,heavy,Mid
62,B,bench,heavy,Mid
63,B,bench,heavy,Mid
64,B,bench,heavy,Mid
65,B,bench,heavy,Mid
66,B,bench,heavy,Mid
67,B,bench,heavy,Mid
68,B,bench,heavy,Mid
69,B,bench,heavy,Mid
70,B,bench,heavy,Mid
71,B,bench,heavy,Mid
72,B,bench,heavy,Mid
73,B,bench,heavy,Mid
74,B,bench,heavy,Mid
75,B,bench,heavy,Mid
76,B,bench,heavy,Mid
77,B,bench,heavy,Mid
78,B,bench,heavy,Mid
79,B,bench,heavy,Mid
80,B,bench,heavy,Mid
81,B,bench,heavy,Mid
82,B,bench,heavy,Mid
83,B,bench,heavy,Mid
